TAMOXIFENE	10MG	B/30	COMP.
TAMOXIFENE	20MG	B/30	COMP.
TAMOXIFENE EBEWE	10MG	B/30	COMP.
TAMOXIFENE EBEWE	20MG	B/30	COMP.
TAMOXIFENE MERCK	10MG	B/30	COMP.
TAMOXIFENE MERCK	20MG	B/30	COMP.
TAMSIR LP	0.4MG	BTE/30	GLES MICROG
TAMSULIX LP	0.4MG	BTE/30	MICROG LP E
TAMSULOSINE BEKER LP	0.4MG	BTE/30	GELUL.MICRO
TAMSULOSINE BRKER LP	0.4MG	BTE/90	GELUL.MICRO
TAMSULOSINE MM LP	0.4MG	BTE/30	MICROGRAN L
TAMSULOSINE WINTHROP LP	0.4MG	BTE/30	GLES.LP.
TAMSUMED LP	0.4MG	BTE/30	MICROG LP E
TAMSUPROST	0.4MG	BTE/30	GLES MICROG
TAMSYL LP	0.4MG	BTE/30	GELUL.MICRO
TANAKAN	40MG/ML	FL/30 ML	SOLUTE BUV.
TANATRIL	1.25MG	BTE/30	COMP.SEC.
TANATRIL	10MG	B/30	COMP.SEC.
TANATRIL	2.5MG	B/30	COMP.SEC.
TANATRIL	5MG	B/30	COMP.SEC.
TANATRIL+	10MG/12.5MG	BTE/30	COMP.
TANATRIL+	10MG/25MG	BTE/30	COMP.
TANATRIL+	5MG/12.5MG	BTE/30	COMP.
TANGANIL	500/5MG/ML	B/5 AMP DE 5 ML	SOL.INJ.
TANGANIL	500MG	B/30	COMP.
TANGANIL PRO	500MG	BTE/30	COMP.
TARDEN	10MG	B/30	COMP.PELLI
TARDEN	20MG	B/30	COMP.PELLI
TARDEN	40MG	BTE/30	COMP.PELLI.
TARDYFERON	80MG	BTE/30	COMP.PELLI
TARDYFERON B9	50MG/0.35MG	B/30	COMP.PELLI
TAREG	160MG	BT/28	COMP.PELLI
TAREG	40MG	B/28	COMP.
TAREG	80MG	B/28	COMP.PELLI
TAROVAL	80MG	BTE/30	COMP.PELLI
TASONEX	0.05%(50G/DOSE)	FL/120	SUSP.SPRAY.
TAVANIC	500MGSF512.46MG/COMPRIME	BTE/05	COMP.PELLI.
TAVER	200MG	B/50	COMP.
TAZOLINE	200MG/MLOU1000MG/5ML	B1FL PDR+1AMPSOLV5ML	PDRE SOLV/S
TAZOTAX	120MG	BTE/30	COMP.PELLI
TAZOTAX	80MG	BTE/30	COMP.PELLI
TEBOKAN FORT	40MG/ML	FL/50 ML	GTTES.BUV.
TEDEMA LP	37.5MG	BTE/30	MICROG LP E
TEDIPULMO	0.3MG/ML	FL/180 ML	SIR.
TEDIPULMO	2.5MG	B/50	COMP.
TEFANYL	1MG	B/30	COMP.
TEFANYL	1MG/5ML	FL/100 ML	SUSP.BUV.
TEGRETOL	100MG/5ML	FL/150 ML	SUSP.BUV.
TEGRETOL	200MG	B/50	COMP.SEC.
TEGRETOL LP	400MG	B/30	COMP.PELLI
TEGRIDIS	20MG/ML	FL/150 ML	SUSP.BUV.
TELDIS	40MG	BTE/30	COMP.
TELDIS	80MG	BTE/30	COMP.
TELEBRIX 35	350MG/ML(650.9MG/MLET96.6MG/	FL/100 ML	SOL.INJ.
TELEBRIX 35	350MG/ML(650.9MG/MLET96.6MG/	FL/50ML	SOL.INJ.
TELEBRIX HYSTERO	I250MG/ML	FL/20ML	SOL.INJ.IV.
TELEBRIX MEGLUMENE	300MG/IODE	FL/100ML	SOL.INJ.
TELEBRIX MEGLUMENE	300MG/IODE	FL/50 ML	SOL.INJ.
TELFADINE	120MG	BTE/20	COMP.PELLI
TELFAST	120MG	BT/15	COMP.PELLI
TELFAST	180MG	BT/15	COMP.PELLI
TELMED 40	40MG	BTE/30	COMP.
TELMED 80	80MG	BTE/30	COMP.
TELMED PLUS 40/12.5	40MG/12.5MG	BTE/30	COMP.
TELMED PLUS 80/12.5	80MG/12.5MG	BTE/30	COMP.
TELMIDIS	40MG	BTE/30	COMP.
TELMIDIS	80MG	BTE/30	COMP.
TELMIDIS PLUS	40MG/12.5MG	BTE/30	COMP.
TELMISA	40MG	BTE/30	COMP.
TELMISA	40MG	BTE/90	COMP.
TELMISA	80MG	BTE/30	COMP.
TELMISA	80MG	BTE/90	COMP.
TELMISARTAN LDM	80MG	BTE/28	COMP.
TELMISARTE	40MG	BTE/30	COMP.
TELMISARTE	80MG	BTE/30	COMP.
TELMISARTE +	40MG/12.5MG	BTE/30	COMP.
TELMISARTE +	80MG/12.5MG	BTE/30	COMP.
TELMISARTE +	80MG/25MG	BTE/30	COMP.
TELSTAL	40MG	BTE/30	COMP.
TELSTAL	80MG	BTE/30	COMP.
TELZART 80 MG	80MG	BTE/28	COMP.
TEMERIVOL	5MG	BTE/30	COMP QUADRI
TEMESTA	1MG	B/30	COMP.
TEMESTA	2.5MG	B/30	COMP.
TEMGEPHINE	0.3MG/ML	BTE/05 AMPOULES	SOL.INJ.
TEMGESIC	0.2MG	B/20	COMP.
TEMGESIC	0.3MG/ML	B/10	SOL.INJ.PER
TEMGINAL	0.3MG/1ML	BT/5AMP 2ML CONT 1ML	S.INJ.IM.IV
TEMISAL	40MG/5MG	BTE/30	COMP.
TEMOST	10MG	BTE/30	COMP.PELLI
TEMOST	4MG	BTE/30	COMP. A CRO
TEN-BLOKA	100MG	B/28	COMP.
TENASIL	250MG	B/14	COMP.SEC.
TENOLIN	100MG	B/30	COMP.
TENOLIN	50MG	B/30	COMP.
TENOLOL	100MG	B/14	COMP.
TENORDATE	50MG/20MG	B/28	GLES.
TENORMED	100MG	BTE/30	COMP.SEC.
TENORMINE	100MG	B/28	COMP.PELLI
TENORMINE	50MG	B/28	COMP.PELLI.
TENSIOMIN	25MG	B/30	COMP.
TENSIOMIN	50MG	B/20	COMP.SEC.
TENSIONORM	16MG	BTE/30	COMP.SEC.
TENSIONORM	4MG	BTE/30	COMP.SEC.
TENSIONORM	8MG	BTE/30	COMP.SEC.
TENSIOPRIL	25MG	B/20	COMP.
TENSIOPRIL	50MG	B/20	COMP.
TENSODIPINE	10MG	B/30	GLES.
TENSODIPINE	5MG	B/30	GLES.
TENSOPREL	25MG	B/30	COMP.
TENSOPREL	25MG	B/60	COMP.
TENSOPREL	50MG	B/30	COMP.
TENSOTEL	40MG	BTE/30	COMP.
TENSOTEL	80MG	BTE/30	COMP.
TEOLAR	10MG	BTE/30	COMP.PELLI
TEOLAR	20MG	BTE/30	COMP.PELLI
TEOLAR	40MG	BTE/30	COMP.PELLI
TEOLAR	80MG	BTE/30	COMP.PELLI
TEPENTINE	400MG	BTE/50	GLES.
TEPROLL	100MG	BTE/30	COMP PELL Q
TERALITHE	250MG	B/100	COMP.
TERAPRED	16MG	BTE/20	COMP.SEC.
TERAPRED	4MG	BTE/30	COMP.SEC.
TERBIDAL 1%	1%	FL/15ML	SOL APPL LO
TERBIDERME	1%	TUBE/15G	CRE.
TERBIFINE	0.15G(1%)	TUBE/15G	CRE.DERMIQU
TERBIFINE	250MG	BTE/10	COMP.SEC.
TERBIFINE	250MG	BTE/20	COMP.SEC.
TERBIL	1%	T/15G	CRE.
TERBIL	250MG	BTE/10	COMP.SEC.
TERBIL	250MG	BTE/20	COMP.SEC.
TERBINAFINE BEKER	250MG	BTE/20	COMP.SEC.
TERBINAFINE LDM	1%	TUBE/15 G	CRE.
TERBINAFINE LDM	250MG	BTE/14	COMP.SEC.
TERBINAMEX	1%	TUBE/15 G	CRE.
TERBINAN	1%	TUBE/15 G	CRE.
TERBINAN	250MG	BTE/14	COMP.SEC.
TERBUTALINE SULFATE	0.5MG/ML	B/8 AMP	SOL.INJ.
TERCYD	1%	TUB/15G	CRE.
TERFINEX	1%	TUB/15G	CRE.DERMIQU
TERFINEX	250MG	BTE/20	COMP.
TERFLUZINE	10MG	B/20	COMP.PELLI
TERFLUZINE	4%	FL/30 ML	SOL.BUV.
TERGYNAN	200MG/100MG/100000UI/3MG	B/10	COMP.GYNECO
TERGYNAN	500MG/65000100000UI	B/10	COMP.GYNECO
TERPOSEN 150	150MG	B/20	COMP.
TERPOSEN 300	300MG	B/10	COMP.
TERRAMYCINE	250MG	B/16	COMP.ENRO.
TERRAMYCINE	250MG/40MG	B/1	SOL.INJ.
TESTO ENANT	250MG	B/1 AMP	SOL.INJ.
TESTOSTERONE	250MG	B/1 AMP DE 1ML	SOL.INJ.
TETRALYSAL	150MG	B/16	GLES.
TETRAMAX	150MG	BTE/16	GLES.
TETRAZEPAM NOVAGENERICS	50MG	BTE/20	COMP.PELLI.
TETRAZEPAM-BIOGARAN	50MG	B/20	COMP.
THEOBID	200MG	B/30	COMP.PELLI
THEOPHYLINE BRUNEAU	200MG	B/30	COMP.
THEOSTAT LP	100MG	B/30	COMP.SEC.LP
THEOSTAT LP	200MG	B/30	COMP.LP.
THEOSTAT LP	300MG	B/30	COMP.LP.
THEPADINE	2MG/CAC	FL/125 ML	SIR.
THERACORT	40MG/ML	BTE/01	SUSP.INJ.
THERANOX	2000UI/0.2ML	BTE/02 SERINGUES	SOL.INJ.SER
THERANOX	4000UI(40MG)/0.4ML	B/2 SERING PREREMPLI	SOL.INJ.
THERANOX	6000UI(60MG)/0.6ML	B/2 SERING PREREMPLI	SOL.INJ.
THERANOX	8000UI/0.8ML	BTE/02 SERINGUES	SOL.INJ.SER
THIA-VALSAN	160MG/12.5MG	BTE/30	COMP.PELLI
THIA-VALSAN	160MG/25MG	BTE/30	COMP.PELLI
THIA-VALSAN	80MG/12.5MG	B/30	COMP.PELLI
THIAMINE CHLORHYDRATE	100MG	B/5 AMP DE 2ML	SOL.INJ.
THIAMINE CHLORHYDRATE	100MG/2ML	B/10	SOL.INJ.
THIAZARTAN	50MG/12.5MG	BTE/30	COMP.PELLI
THIOBACTIN	500MG	B/24	COMP.
THIOPHENICOL	250MG	B/16	COMP.
THIOPHENICOL	750MG/5ML	B/1	PDRE.SOL.IN
THIOVALONE	1.405/0.422G	FL/10 ML	COLLU.
THYRAX DUOTAB	100G	B/100	COMP.
THYRO - 4	100G	B/100	COMP.
TIALYZ	200MG	BTE/30	COMP.
TICLID	250MG	B/20	COMP.PELLI
TIEMONE	10MG/5MLMG/ML	FL/125ML	SIR.
TIFEN	1MG	B/30	COMP.
TIFEN	1MG/5ML	FL/100 ML	SIR.
TILDIEM	60MG	B/30	COMP.
TIMADLINE	10MG/5ML	FL/125ML	SIR.
TIMO FEROL	50MG(FER)/30MG	B/24	GLES.
TIMOLAMID	20MG/5MG/ML	FL/5 ML	COLLYRE.SOL
TIMOLOL	0.50%	FL/3 ML	COLLY.
TIMOLOL	0.50%	FL/5 ML	COLLY.
TIMOLOL ALCON	0.25%	FL/5 ML	COLLY.
TIMOLOL ALCON	0.50%	FL/5 ML	COLLY.
TIMONAL	10MG/5ML	FL/125 ML	SIR.
TIMONAL	20MG	B/10	SUPPO.
TIMONAL	5MG/2ML	B/5	SOL.INJ.
TIMONEX	10MG/05ML	FL/150 ML	SOL.BUV.
TIMOPTOL	0.25%	FL/3 ML	COLLY.
TIMOPTOL	0.5%	FL/3 ML	COLLY.
TIMOZINE	10MG/5MLMG/ML	FL/100ML	SIR.
TINASIL 1%	1%	FL/30 ML	SPRAY P PUL
TINI-500	500MG	B/4	COMP.
TINUVIN	200MG	B/10	COMP.
TIOPAM ENFANT	30MG	BTE/30 SACHETS	PDR.ORALE.S
TIOPAM NOURRISSONS	10MG	BTE/16 SACHETS	PDR.ORALE.S
TIOTRIL	10MG	BTE/16 SACHETS	PDR ORAL SA
TIOTRIL	30MG	BTE/30	PDR ORAL SA
TIOTUM	18G	BTE/30	PDRE.INHAL
TIRLOR	10MG	B/10	COMP.
TIRLOR	10MG	B/20	COMP.
TIROMEL	25G	B/100	COMP.
TOBRADIS	0.3%(3MG/ML)	FL/5 ML COMPTE GTTES	COLLYRE.SOL
TOBREX	300000UI	FL/5ML+COMPTE GOUTTE	COLLY.
TOCOGESTAN	200/50/250MG	B/2 AMP DE 2ML	SOL.INJ.
TOFENIL	1MG	B/30	COMP.SEC.
TOLMIL	10MG	BTE/30	COMP.PELLI
TOLMIL	30MG	BTE/20	COMP.PELLI
TOLPECALM	150MG	BTE/30	COMP.PELLI
TOLPICALM	150MG	BTE/30	COMP.PELLI
TOLVON	30MG	BTE/20	COMP.PELLI
TONIMAG	1.5G/5MLG/ML	B/20	AMP.BUV.
TOPAAL	4G/0.6MG/0.8M	FL/210 ML	SUSP.BUV.
TOPICLOMAX	100MG	BTE/60	COMP.PELLI
TOPICLOMAX	25MG	BTE/60	COMP.PELLI
TOPICLOMAX	50MG	BTE/60	COMP.PELLI
TOPLEXIL		FL/150ML	SIR.
TORENTAL LP	400MG	B/20	COMP.ENRO.L
TORLASPORINE	500MG	B/12	GLES.
TORLIP	10MG	B/30	COMP.
TORLIP	40MG	BTE/30	COMP.PELLI.
TORVACOL	10MG	B/30	COMP.ENRO.
TORVACOL	20MG	B/30	COMP.
TORVACOL	40MG	BTE/30	COMP.
TORVAST	10MG	B/30	COMP.
TORVAST	20MG	B/30	COMP.
TORVAST	40MG	BTE/30	COMP.
TORVAST	80MG	PILULIER DE 30	COMP.PELLI
TORVASTATINE	10MG	BTE/30	COMP.PELLI
TORVASTATINE	20MG	BTE/30	COMP.PELLI
TORVASTATINE	40MG	BTE/30	COMP.PELLI
TORVASTATINE	80MG	BTE/30	COMP.PELLI
TORVASTINE	40MG	BTE/30	COMP.PELLI
TORVASTINE	80MG	BTE/30	COMP.PELLI
TOTAPEN	0.50G	FL/15ML	PDRE.SOL.IN
TOTAPEN	125MG/5ML	FL/60 ML	PDRE.OR.
TOTAPEN	1G	B/1+1 DE 6.5ML	PDRE.SOL.IN
TOTAPEN	250MG/5ML	FL/60 ML	PDRE.OR.
TOTAPEN	250MG/5ML	FL/60 ML	SIR.
TOTAPEN	500MG	B/12	GLES.
TOTAPEN	500MG	FL/15 ML	PDRE.SOL.IN
TOTIFEN	1MG	B/60	GLES.
TOTILAM	1MG/5ML	FL/125 ML	SIR.
TOTINAL	1MG	B/30	COMP.
TOTINAL	1MG/5ML	FL/100 ML	SIR.
TOUJEO SOLOSTAR	300UI/ML	BTE/03 STYLOS 1.5 ML	SOL.INJ.EN/
TOUJEO SOLOSTAR	300UI/ML	BTE/05 STYLOS 1.5 ML	SOL.INJ.EN/
TOUXOL	0.3G/ML	FL/125 ML	SOLUTE BUV.
TRAMADINE	100MG	BTE/10	SUPPO.
TRAMADIS	50MG	BTE/10	GLES.
TRAMADIS	50MG/ML	BTE/5AMP 2ML(100MG/2	SOL INJ IV/
TRAMADOL BEKER	50MG	BTE/30	GLES.
TRAMADOL BEKER LP	100MG	BTE/30	COMP.PELL.L
TRAMADOL BIOGARAN	50MG	B/30	GLES.
TRAMADOL IBERAL	50MG	BTE/30	GLES.
TRAMADOL LS	100MG	B/10	SUPPO.
TRAMADOL LS	50MG	B/30	GLES.
TRAMADOL NOVAGENERICS	50MG	BTE/30	GLES.
TRAMADOL PLUS	325MG/37.5MG	BTE/20	GLES.
TRAMADOL SANDOZ	50MG	BTE/30	GLES.
TRAMAL	50MG	BTE/30	GLES.
TRAMEX	50MG	BTE/30	GLES.
TRAMGESIC	50MG	B/30	GLES.
TRAMGESIC	50MG/1MLMG/ML	B/5AMP 2ML(100MG/2ML	SOL.INJ.
TRANOXANE	10MG	B/30	GLES.
TRANOXANE	5MG	B/30	GLES.
TRANQIPAM	1MG	B/30	COMP.
TRANQIPAM	2.5MG	B/100	COMP.
TRANSACALM	100MG	B/20	COMP.
TRANSACALM	100MG	B/30	COMP.
TRANSOMIL	1.5MG	BTE/20	COMP.
TRANSOMIL	3MG	BTE/20	COMP.
TRANSOMIL	6MG	B/30	COMP.SEC.
TRANXENE	10MG	B/30	GLES.
TRANXENE	20MGMG/2ML	B/5+5	COMP.
TRANXENE	50MGMG/2.5ML	B/5+5	COMP.
TRANXENE	5MG	B/30	GLES.
TRAPAL	325MG/37.5MG	B/20	GLES.
TRAUSAN	100MG/ML	FL/30ML+PIPETTE GRAD	SOL.BUV.GTT
TRAVADIS	40G/ML	FL/2.5 ML	COLLYRE.SOL
TRAVADROP	40G/ML	FL/CPT GTS/5ML(2.5ML	COLLYRE.SOL
TRAVADROP FREE	40G/ML	FL/2.5ML	COLLYRE.SOL
TRAVATAN	40MG/ML	FL/2.5ML	COLLY.
TRAVOST	40G/ML	FL/5ML CONTENT 2.5ML	COLLYRE.SOL
TREMADOL	50MG	B/20	COMP.
TREPADIO	100MG	BTE/30	COMP.PELLI
TREPADIO	10MG/ML	FL/200 ML	SIR.
TREPADIO	150MG	BTE/30	COMP.PELLI
TREPADIO	200MG	BTE/30	COMP.PELLI
TREPADIO	50MG	BTE/30	COMP.PELLI
TREPILINE 25	25MG	B/60	COMP.
TRESIBA FLEXPEN	100U/ML	B01 STYL PREREML 3ML	SOL.INJ.
TRESIBA FLEXPEN	100U/ML	B02 STYL PREREMP 3ML	SOL.INJ.
TRESIBA FLEXPEN	100U/ML	B05 STYL PREREMP 3ML	SOL.INJ.
TRESIBA FLEXTOUCH	100UI/ML	BTE/01 STYLO DE 3ML	SOL.INJ.SC.
TRESIBA FLEXTOUCH	100UI/ML	BTE/05 STYLOS DE 3ML	SOL.INJ.SC.
TRI-REGOL	30G/0.05MG/6	B/63	COMP.
TRIAMPEX	10MG	BTE/30	GLES.
TRIAMPEX	2.5MG	B/30	GLES.
TRIAMPEX	5MG	B/30	GLES.
TRIANIL	25MG	B/30	COMP.
TRIATEC	1.25MG	B/28	COMP.
TRIATEC	1.25MG	B/30	COMP.
TRIATEC	1.25MG	B/30	GLES.
TRIATEC	10MG	B/28	COMP.SEC.
TRIATEC	2.5MG	B/28	COMP.
TRIATEC	2.5MG	B/30	COMP.
TRIATEC	2.5MG	B/30	GLES.
TRIATEC	5MG	B/28	COMP.
TRIATEC	5MG	B/30	COMP.
TRIATEC	5MG	B/30	GLES.
TRIAXONE	200MG	BTE/30	COMP.SEC.
TRIBEMEX	100MG	BTE/20	COMP.
TRIBEMEX	200MG	BTE/30	COMP.
TRIFEDYL	100MG	PILULIER/30	COMP. A CRO
TRIFER	100MG/5ML	B/10 FL/5ML	SOL.BUV.
TRIFER FOL	0.35MG/100MG	BTE/30	COMP.PELLI
TRIFLUCAN	100MG	B/10	GLES.
TRIFLUCAN	200MG	B/30	GLES.
TRIGESTREL	0.05/0.03-0.075/0.04-0.125/0.0MG	B/3BLSTR 21CP(63CP)	COMP.
TRILEPTAL	150MG	BTE/50	COMP.PELLI
TRIMEBUTINE	100MG	B/20	COMP.
TRIMEBUTINE AGD	100MG	B/20	COMP.
TRIMEBUTINE B	200MG	BTE/30	COMP.
TRIMEBUTINE BIOCARE	100MG	BTE/20	COMP.PELLI
TRIMEBUTINE BIOCARE	200MG	BTE/30	COMP.PELLI
TRIMEBUTINE BIOGARAN	100MG	B/20	COMP.
